Hora,Precio
1668981600,111.0
1668985200,91.32
1668988800,97.84
1668992400,67.72
1668996000,59.4
1668999600,52.2
1669003200,50.7
1669006800,51.4
1669010400,60.0
1669014000,98.6
1669017600,101.32
1669021200,101.84
1669024800,98.54
1669028400,97.84
1669032000,98.54
1669035600,97.84
1669039200,80.23
1669042800,67.72
1669046400,67.57
1669050000,80.23
1669053600,98.54
1669057200,95.01
1669060800,95.01
1669064400,97.84
1669068000,67.52
1669071600,52.0
1669075200,48.9
1669078800,48.0
1669082400,48.0
1669086000,47.2
1669089600,47.2
1669093200,48.9
1669096800,52.9
1669100400,90.0
1669104000,100.0
1669107600,99.63
1669111200,84.2
1669114800,66.37
1669118400,62.7
1669122000,60.5
1669125600,62.0
1669129200,66.37
1669132800,79.51
1669136400,99.0
1669140000,103.2
1669143600,108.0
1669147200,107.59
1669150800,100.0
1669154400,79.69
1669158000,50.7
1669161600,70.0
1669165200,16.38
1669168800,10.0
1669172400,4.11
1669176000,4.11
1669179600,8.0
1669183200,45.99
1669186800,86.0
1669190400,96.0
1669194000,97.84
1669197600,96.0
1669201200,96.53
1669204800,98.0
1669208400,100.0
1669212000,102.0
1669215600,111.01
1669219200,130.0
1669222800,134.92
1669226400,140.0
1669230000,148.59
1669233600,160.0
1669237200,150.0
1669240800,142.0
1669244400,125.34
1669248000,143.14
1669251600,121.29
1669255200,116.1
1669258800,112.02
1669262400,110.97
1669266000,110.97
1669269600,125.0
1669273200,145.0
1669276800,135.64
1669280400,131.93
1669284000,121.28
1669287600,114.72
1669291200,116.15
1669294800,119.59
1669298400,120.18
1669302000,130.0
1669305600,148.64
1669309200,153.01
1669312800,164.1
1669316400,190.0
1669320000,195.76
1669323600,186.99
1669327200,152.16
1669330800,141.0
1669334400,150.1
1669338000,133.1
1669341600,116.35
1669345200,108.44
1669348800,106.23
1669352400,110.19
1669356000,120.21
1669359600,145.0
1669363200,156.3
1669366800,154.95
1669370400,159.32
1669374000,151.62
1669377600,126.21
1669381200,118.33
1669384800,106.51
1669388400,109.51
1669392000,143.43
1669395600,165.0
1669399200,166.62
1669402800,176.74
1669406400,182.61
1669410000,171.3
1669413600,158.91
1669417200,156.45
1669420800,139.42
1669424400,105.0
1669428000,111.1
1669431600,104.96
1669435200,104.18
1669438800,104.51
1669442400,121.0
1669446000,125.0
1669449600,135.93
1669453200,139.42
1669456800,120.97
1669460400,104.18
1669464000,102.65
1669467600,104.96
1669471200,104.51
1669474800,104.51
1669478400,143.99
1669482000,155.76
1669485600,169.89
1669489200,171.3
